Group,Ideology,Website,Website 2,Website 3
American Border Patrol,Anti-Immigrant,http://www.americanborderpatrol.com,,
American Immigration Control Foundation,Anti-Immigrant,http://www.immigrationcontrol.com,,
Americans for Legal Immigration (ALIPAC),Anti-Immigrant,http://www.alipac.us,,
Borderkeepers of Alabama,Anti-Immigrant,http://www.borderkeepersofalabama.org,,
Californians for Population Stabilization,Anti-Immigrant,http://www.capsweb.org,,
Center for Immigration Studies,Anti-Immigrant,http://www.cis.org,,
Colorado Alliance for Immigration Reform,Anti-Immigrant,http://www.cairco.org,,
Federation for American Immigration Reform,Anti-Immigrant,http://www.fairus.org,,
Immigration Reform Law Institute,Anti-Immigrant,http://www.irli.org,,
Legal Immigrants for America,Anti-Immigrant,http://www.golifa.org,,
National Coalition for Immigration Reform,Anti-Immigrant,http://www.nciraction.org,,
nan,Anti-Immigrant,,,
New Yorkers for Immigration Control and Enforcement,Anti-Immigrant,http://www.nyice.us,,
ProEnglish,Anti-Immigrant,http://www.proenglish.org,,
Abiding Truth Ministries,Anti-LGBT,http://www.defendthefamily.com,,
Alliance Defending Freedom,Anti-LGBT,http://www.adflegal.org,,
American College of Pediatricians,Anti-LGBT,http://www.acpeds.org,,
American Family Association,Anti-LGBT,http://www.afa.net,,
American Family Association Pennsylvania,Anti-LGBT,http://www.afaofpa.org,,
Americans for Truth about Homosexuality,Anti-LGBT,http://www.americansfortruth.com,,
American Vision,Anti-LGBT,http://www.americanvision.org,,
ATLAH World Missionary Church,Anti-LGBT,http://www.atlah.org,,
"Campus Ministry, USA, The",Anti-LGBT,http://www.brojed.org,,
Center for Family and Human Rights (C-Fam),Anti-LGBT,http://www.c-fam.org,,
Chalcedon Foundation,Anti-LGBT,http://www.chalcedon.edu,,
Citizens for Community Values,Anti-LGBT,http://www.ccv.org,,
Conservative Republicans of Texas,Anti-LGBT,http://www.crtpac.com,,
D. James Kennedy Ministries,Anti-LGBT,http://www.djameskennedy.org,,
"Faith Baptist Church, Greenville, GA",Anti-LGBT,http://faithbaptistchurchprimrose.com,,
Faith2Action,Anti-LGBT,http://www.f2a.org,,
Faithful Word Baptist Church (AZ),Anti-LGBT,http://www.faithfulwordbaptist.org,,
Family Research Council,Anti-LGBT,http://www.frc.org,,
Family Research Institute,Anti-LGBT,http://www.familyresearchinst.org,,
Family Watch International,Anti-LGBT,http://www.familywatchinternational.org,,
Generations with Vision (CO),Anti-LGBT,http://www.generationswithvision.com,,
Heterosexuals Organized for a Moral Environment (H.O.M.E.),Anti-LGBT,http://www.home60515.com,,
Illinois Family Institute,Anti-LGBT,http://www.illinoisfamily.org,,
Liberty Counsel,Anti-LGBT,http://www.lc.org,,
MassResistance,Anti-LGBT,http://www.massresistance.org,,
MaineResistance (chapter of Mass Resistance),Anti-LGBT,http://www.reclaimvirtue.com,,
MassResistance Missouri (chapter),Anti-LGBT,http://www.massresistancemo.org,,
Virginia MassResistance (chapter),Anti-LGBT,http://www.virginiamassresistance.org,,
Mission: America,Anti-LGBT,http://www.missionamerica.com,,
Pacific Justice Institute,Anti-LGBT,http://www.pacificjustice.org,,
Pass the Salt Ministries,Anti-LGBT,http://www.coachdavelive.com,,
Pilgrims Covenant Church (WI),Anti-LGBT,http://www.pccmonroe.org,,
"Pray in Jesus Name Project, the",Anti-LGBT,http://www.prayinjesusname.org,,
Probe Ministries,Anti-LGBT,http://www.probe.org,,
