actuser__id,actuser__is_donor,actuser__is_investor,actuser__is_private,actuser__is_pro,actuser__name,actuser__username,actuser__verified,id,post__attachment_post,post__body,post__bookmarked,post__category,post__category_details,post__created_at,post__dislike_count,post__disliked,post__edited,post__id,post__is_quote,post__is_replies_disabled,post__is_reply,post__language,post__like_count,post__liked,post__nsfw,post__only_emoji,post__replies_post_dict,post__reported,post__repost,post__revised_at,post__score,published_at,type
130807,False,False,False,True,Andrew Anglin,AndrewAnglin,True,10532383-14327740,"{u'type': u'url', u'value': {u'url': u'https://pew.tube/user/DailyStormerAudio/Ip65n5V', u'source': u'pew.tube', u'image': u'https://ipr2.gab.ai/3645271b196e92d9e10182022faff3145cb5687e/68747470733a2f2f663030312e6261636b626c617a6562322e636f6d2f66696c652f706577747562652f4461696c7953746f726d6572417564696f2f497036356e35562d7468756d626e61696c2e706e67/', u'description': u'1. Stormer, Volume 11: AI Gone the Way of Tay http://dstormer6em3i4km.onion/stormer-volume-11-ai-gone-the-way-of-tay/ 2. Philly: Dunkin' Donuts Antifa...', u'title': u'The Daily Stormer Featured Stories 2017-11-06'}}","@AndrewAnglin #FreeWeev @Eric_StrikerDS @Azzmador @Superjenn 

The video magazine for the 6th is up (runs 40 minutes).

https://pew.tube/user/DailyStormerAudio/Ip65n5V (video)

https://pew.tube/user/DailyStormerAudio/uT1EslJ (soundtrack)",False,,,2017-11-08T10:39:55+00:00,0,False,False,14327740,False,False,False,en,30,False,False,False,[],False,False,,30,2017-11-09T15:57:25+00:00,repost
130807,False,False,False,True,Andrew Anglin,AndrewAnglin,True,14376525,"{u'type': None, u'value': None}","The entire website is always on the internet. 

Surely, white people have the agency to download and install a simple browser program. ",False,,,2017-11-09T15:54:44+00:00,0,False,False,14376525,True,False,False,en,116,False,False,False,[],False,False,,116,2017-11-09T15:54:44+00:00,post
130807,False,False,False,True,Andrew Anglin,AndrewAnglin,True,10532273-14359201,"{u'type': None, u'value': None}",I stopped bothering with the regular internet sites since the Orfox browser works so good on phones and it never gets take down. ,False,,,2017-11-09T02:37:20+00:00,0,False,False,14359201,False,False,True,en,39,False,False,False,[],False,False,,39,2017-11-09T15:53:08+00:00,repost
130807,False,False,False,True,Andrew Anglin,AndrewAnglin,True,10532252-14364470,"{u'type': None, u'value': None}","Yeah, well, we Jews hate your nazi ass too, you piece of shit.

Let's count how many countries kicked your ass out for hate speech, shall we?

U.S.
China
Samoa
Anguilla
Philippines
Catalan
Iceland
Russia
Albania
Austria

Nobody wants your nazi ass, Anglin.",False,,,2017-11-09T05:34:45+00:00,78,False,False,14364470,False,False,True,en,16,False,False,False,[],False,False,,-62,2017-11-09T15:52:19+00:00,repost
130807,False,False,False,True,Andrew Anglin,AndrewAnglin,True,10495827-14265361,"{u'type': u'media', u'value': [{u'height': 798, u'url_full': u'https://gabfiles.blob.core.windows.net/image/5a00dc3f97bcd.jpeg', u'url_thumbnail': u'https://gabfiles.blob.core.windows.net/image/5a00dc3f97b35.jpeg', u'id': u'50563ca8-b0a8-4e5d-901a-2f03e6094cd9', u'width': 523}]}",,False,,,2017-11-06T22:03:47+00:00,0,False,False,14265361,False,False,True,,128,False,False,True,[],False,False,,128,2017-11-08T07:00:57+00:00,repost
130807,False,False,False,True,Andrew Anglin,AndrewAnglin,True,10495798-14317822,"{u'type': u'url', u'value': {u'url': u'https://pew.tube/user/DailyStormerAudio/gLalDgP', u'source': u'pew.tube', u'image': u'https://ipr2.gab.ai/122407f3620e54d35c1ffae057c3b4b80314bc46/68747470733a2f2f663030312e6261636b626c617a6562322e636f6d2f66696c652f706577747562652f4461696c7953746f726d6572417564696f2f674c616c4467502d7468756d626e61696c2e706e67/', u'description': u'1. ""Expert"" Claims Transgender Males Will Soon be Able to Have Babies http://dstormer6em3i4km.onion/expert-claims-transgender-males-will-soon-be-able-...', u'title': u'The Daily Stormer Featured Stories 2017-11-05'}}","@AndrewAnglin #FreeWeev @Eric_StrikerDS @Azzmador @Superjenn 

The video magazine for the 5th is up (runs 43 minutes).

https://pew.tube/user/DailyStormerAudio/gLalDgP (video)

https://pew.tube/user/DailyStormerAudio/by3IzI8 (soundtrack)",False,,,2017-11-08T03:05:27+00:00,0,False,False,14317822,False,False,False,en,34,False,False,False,[],False,False,,34,2017-11-08T06:58:43+00:00,repost
130807,False,False,False,True,Andrew Anglin,AndrewAnglin,True,10495791-14321654,"{u'type': u'media', u'value': [{u'height': 1440, u'url_full': u'https://gabfiles.blob.core.windows.net/image/5a0290adead11.jpeg', u'url_thumbnail': u'https://gabfiles.blob.core.windows.net/image/5a0290adeaca6.jpeg', u'id': u'4af258d6-1239-4f35-8a7f-31e6f9e82494', u'width': 2560}]}",...and The Great Shoa'ing of 2017 took a great toll on @AndrewAnglin ,False,,,2017-11-08T05:05:51+00:00,0,False,True,14321654,True,False,False,en,89,False,False,False,[],False,False,2017-11-08T05:07:39+00:00,89,2017-11-08T06:57:53+00:00,repost
130807,False,False,False,True,Andrew Anglin,AndrewAnglin,True,14321423,"{u'type': u'media', u'value': [{u'height': 663, u'url_full': u'https://gabfiles.blob.core.windows.net/image/5a028eb2e1fa0.jpeg', u'url_thumbnail': u'https://gabfiles.blob.core.windows.net/image/5a028eb2e1f65.jpeg', u'id': u'34fee3e6-130f-4d43-9516-0026d3f67b6d', u'width': 780}]}","Welp. 

.ws was kiked. 

Go here for now: 

http://dstormer6em3i4km.onion/

With Tor Browser:

https://torproject.org/download

Permanent solution coming soon. ",False,,,2017-11-08T04:57:57+00:00,2,False,False,14321423,False,False,False,en,259,False,False,False,[],False,False,,257,2017-11-08T04:57:57+00:00,post
130807,False,False,False,True,Andrew Anglin,AndrewAnglin,True,14258832,"{u'type': None, u'value': None}","To truly love anything which is good and beautiful in this world, one must first learn to hate the Jews. ",False,,,2017-11-06T18:56:20+00:00,15,False,False,14258832,False,False,False,en,428,False,False,False,[],False,False,,413,2017-11-06T18:56:20+00:00,post
130807,False,False,False,True,Andrew Anglin,AndrewAnglin,True,14258573,"{u'type': u'media', u'value': [{u'height': 351, u'url_full': u'https://gabfiles.blob.core.windows.net/image/5a00aea0c8758.jpeg', u'url_thumbnail': u'https://gabfiles.blob.core.windows.net/image/5a00aea0c86dd.jpeg', u'id': u'1b497894-e8a0-4ff7-86bc-9a19e8640f42', u'width': 624}]}","As an artistic genius, I can tell you that this is hands down the greatest photograph of 2017. ",False,,,2017-11-06T18:49:06+00:00,1,False,False,14258573,False,False,False,en,115,False,False,False,[],False,False,,114,2017-11-06T18:49:06+00:00,post
